name,DIFF,LipidIon,LipidGroup,Class,FattyAcid,FA1,FA2,FA3,FA4,IonFormula,CalMz,RT-(min),QCRSD,Fold Change,P-value,VIP,AdSemetab1,AdSemetab10,AdSemetab2,AdSemetab3,AdSemetab4,AdSemetab5,AdSemetab6,AdSemetab7,AdSemetab8,AdSemetab9,MaSemetab10,MaSemetab11,MaSemetab12,MaSemetab14,MaSemetab3,MaSemetab4,MaSemetab5,MaSemetab6,MaSemetab7,MaSemetab9,OaSemetab1,OaSemetab10,OaSemetab2,OaSemetab3,OaSemetab4,OaSemetab5,OaSemetab6,OaSemetab7,OaSemetab8,OaSemetab9,QC1,QC2,QC3,QC4
NEG190,Y,Hex2Cer(d32:0)+HCOO,Hex2Cer(d32:0)+HCOO,Hex2Cer,(d32:0),(d32:0),,,,C45 H86 O15 N1,880.6002975,10.17986949,0.020822429,0.679963246,0.031150611,1.071504506,903446.2056,1828726.926,919868.0049,772391.8388,779525.0908,1459521.962,2579966.172,1852595.776,1467245.739,1918947.177,1214516.206,993999.1769,797881.2558,1203531.541,1058374.179,981996.1316,1055012.158,1016236.323,737454.8344,788385.634,1778651.563,1669383.768,1836017,1867844.609,1844658.468,2704903.04,1354871.567,1379918.895,1375180.376,1418229.829,1677494.819,1730471.544,1648051.505,1669492.436
NEG234,Y,LPC(16:0)+HCOO,LPC(16:0)+HCOO,LPC,(16:0),(16:0),,,,C25 H51 O9 N1 P1,540.3306955,1.771931275,0.016849234,0.707927981,0.038803727,1.5772793,2559382.895,3676018.938,3066370.772,1665507.451,1667156.231,3091896.21,4435236.351,3104661.129,3564205.435,5850646.024,2350581.306,2918179.424,2129370.869,3455621.135,2095911.467,2157863.593,2137296.583,2407712.027,1649071.45,1834244.157,2979723.906,2811774.575,5270542.963,4859708.177,4950652.979,6681316.641,3706201.236,3775464.242,3632805.349,3697471.34,4035379.534,4008738.736,4043330.882,3897770.609
NEG247,Y,LPC(18:0)+HCOO,LPC(18:0)+HCOO,LPC,(18:0),(18:0),,,,C27 H55 O9 N1 P1,568.3619955,2.462414162,0.009753122,0.714063689,0.048847281,1.342378609,2365681.44,2995438.09,2452204.388,1137260.074,1128874.199,2785243.552,4367691.984,3017602.513,2612384.011,4375916.325,2078936.212,2285413.603,1807207.19,2781683.323,1820566.332,1799421.77,1865933.315,2036567.957,1354491.062,1619657.773,2889609.876,2253049.738,3291692.133,3270200.123,3600427.916,4411877.901,2102917.989,2123575.541,2093780.678,2107939.981,3101793.867,3082833.444,3032578.346,3086122.607
NEG252,Y,LPC(18:1)+HCOO,LPC(18:1)+HCOO,LPC,(18:1),(18:1),,,,C27 H53 O9 N1 P1,566.3463455,1.858894567,0.022491105,0.67321736,0.003530533,1.057126573,849639.2432,1620702.253,1520712.494,795109.7098,791038.7059,1359410.934,1711071.563,1175557.876,1198567.16,1511517.878,1094927.509,995807.3832,987630.0115,1040706.454,709815.4438,715036.9607,697466.7415,787313.7766,639058.8824,769890.708,1125090.532,840583.6641,1468952.101,1506075.193,1463349.208,2013103.718,942742.6655,920841.5108,927735.5116,980778.3465,1366501.195,1349545.045,1383588.81,1312402.169
NEG307,Y,PA(44:6)-H,PA(44:6)-H,PA,(44:6),(44:6),,,,C47 H80 O8 N0 P1,803.5596315,9.169741654,0.009371019,1.43699769,0.007749444,1.787439883,1704407.61,3914737.402,2690252.662,1479229.055,1458663.206,3122247.517,3556892.557,2915591.107,2469522.195,5317691.605,4037857.858,4965863.544,3522217.213,4932181.181,4380910.42,4143036.523,4214759.632,3388889.887,3844677.088,3709751.106,2905409.057,3766563.714,5246358.412,5270445.855,6430421.126,7510143.273,6179103.404,5992241.367,6275144.277,6178190.532,4844777.333,4771616.71,4822272.736,4747035.73
NEG345,Y,PC(16:0_18:2)+HCOO,PC(34:2)+HCOO,PC,(16:0_18:2),(16:0),(18:2),,,C43 H81 O10 N1 P1,802.5603605,9.168641378,0.007418459,1.456032397,0.004267631,2.753956408,3782012.018,8597848.268,5920980.443,3264987.871,3262612.551,6874615.213,7865271.765,6396451.989,5481796.534,10903919.61,8799872.498,11147462.71,7801719.218,10938475.28,9522538.962,9167809.249,9238206.165,7542640.791,8520388.652,8105228.978,6457431.127,8192884.566,11640780.71,11754403.01,13955774.62,16687372.42,13682427.66,13306223.03,13798360.87,13698558.45,10682762.01,10518856.72,10589565.46,10515799.31
NEG374,Y,PC(18:1_18:1)+HCOO,PC(36:2)+HCOO,PC,(18:1_18:1),(18:1),(18:1),,,C45 H85 O10 N1 P1,830.5916605,10.32388535,0.018102683,1.293641261,0.045323411,2.249773369,4993498.927,10308187.23,7721133.379,3552464.321,3511362.986,8871835.488,11055057.49,7830158.546,5502355.745,12654948.71,10286128.98,10684961.2,10073018.05,9290065.241,10001840.71,10560481.84,10218502.2,7865792.326,9368968.763,9968273.821,9790382.257,8424759.699,9713971.634,11128497.39,14693042.2,12915476.09,11038426.22,10906606.75,10329457.67,11584627.63,11654504.26,11318540.8,11812255.39,11517103.7
NEG381,Y,PC(18:1_18:2)+HCOO,PC(36:3)+HCOO,PC,(18:1_18:2),(18:1),(18:2),,,C45 H83 O10 N1 P1,828.5760105,9.287542839,0.009489185,1.586422454,0.002345637,1.414988576,757687.6276,1716418.24,1337052.943,538549.3584,545175.3053,1607554.975,1702355.191,1289145.655,967166.5597,2441814.056,1824347.767,2517073.355,1711181.581,2506426.404,2202879.383,2081173.967,2149269.646,1761165.188,2003796.705,1712167.877,1463779.988,1723460.248,1967090.92,1942876.496,2696763.559,3676163.702,2632836.254,2611243.667,2629168.272,2650233.775,2288928.253,2257422.004,2274332.904,2239140.548
NEG464,Y,PC(18:0_22:5)+HCOO,PC(40:5)+HCOO,PC,(18:0_22:5),(18:0),(22:5),,,C49 H87 O10 N1 P1,880.6073105,10.21855859,0.013945255,0.691930336,0.039992211,1.044996551,857466.3069,1938906.146,934791.3888,818217.9349,819460.9044,1512183.643,2676612.566,1904024.438,1596392.192,1888040.154,1301800.717,1046600.33,771446.7922,1326184.128,1082804.593,1051182.326,1087494.623,1046728.354,768528.599,858886.5433,1878018.808,1794693.517,1886086.261,1930628.033,1842596.348,2820569.5,1478471.319,1439992.31,1464207.245,1476183.992,1763577.261,1764418.605,1751912.091,1712568.568
NEG681,Y,SM(d34:1)+HCOO,SM(d34:1)+HCOO,SM,(d34:1),(d34:1),,,,C40 H80 O8 N2 P1,747.5657795,8.664908609,0.010438937,0.677308415,0.00016672,2.311927151,4072108.957,6485218.273,5465448.761,4833098.39,4855410.854,6529180.038,7330844.973,5214895.008,4066452.814,5640421.23,4066421.554,4303636.573,4212770.368,4209817.387,3292816.265,3444608.634,3288323.683,3078074.332,3243810.95,3768341.404,4260608.616,3098479.531,4219759.289,4292861.995,3544190.824,5825080.519,3738036.248,3522617.887,3673143.111,3506682.61,5051471.159,5051792.339,5052509.187,4947002.021
NEG682,Y,SM(d34:1)+HCOO,SM(d34:1)+HCOO,SM,(d34:1),(d34:1),,,,C40 H80 O8 N2 P1,747.5657795,9.267664266,0.276643507,0.141148462,0.026308792,2.102513693,4448717.881,23039.50633,4676342.465,3964362.559,92506.28009,4953899.334,117816.9135,14923.19891,7784.076752,5168200.692,3150832.423,13785.14599,83515.74017,3817.492005,21347.46839,6320.704765,15921.6678,4304.322363,4367.292985,8202.385838,321595.308,6508.774925,18295.71216,7929.197275,5594.562266,12363.66613,7104.25364,7819.389346,4218.453885,7168.220231,11853.4445,10647.37938,18043.67639,10656.87876
NEG691,Y,SM(d36:1)+HCOO,SM(d36:1)+HCOO,SM,(d36:1),(d36:1),,,,C42 H84 O8 N2 P1,775.5970795,9.9224621,0.013917606,0.622810186,0.000771201,1.303019444,1476764.702,2178096.09,1638144.281,1454157.025,1578629.085,2342213.808,2292823.477,1366743.377,988062.7977,1271011.434,1056578.666,1250310.945,1363412.926,888958.1496,957218.0812,975412.9182,975054.9115,860277.865,874886.7344,1128220.927,1585316.652,480007.6944,762871.7386,759206.3617,679396.8901,849219.0468,658924.4463,661124.406,685309.6175,664499.8405,1443123.156,1403665.523,1404247.58,1403429.449
NEG721,Y,SM(d42:1)+HCOO,SM(d42:1)+HCOO,SM,(d42:1),(d42:1),,,,C48 H96 O8 N2 P1,859.6909795,13.26998202,0.015310657,0.602680402,2.14605E-05,1.232273822,817111.336,1553341.054,1196578.471,1140132.003,1156826.568,1076382.226,1483430.864,1053804.374,793058.7982,1119734.836,731896.6531,822542.6559,690436.1517,698620.5274,692665.8973,694043.7638,697453.5677,626462.899,565782.6276,644866.4224,644336.3043,754326.8442,1062596.441,1071913.766,721835.1751,1292453.978,818481.7883,819028.3158,815255.9038,831992.2577,1114391.507,1081093.749,1081005.355,1081001.641
NEG723,Y,SM(d42:2)+HCOO,SM(d42:2)+HCOO,SM,(d42:2),(d42:2),,,,C48 H94 O8 N2 P1,857.6753295,12.16464215,0.019560588,0.632304142,0.000277666,1.477935742,1365339.802,2858355.946,1865154.671,1872696.897,1908269.227,2256834.756,2649454.114,1906904.824,1415694.119,1992412.344,1360440.015,1338014.127,1623575.031,1511416.881,1048134.999,1047871.741,1011201.326,1175854.807,1160118.273,1427069.106,2094185.775,1304097.279,1447046.923,1437297.349,1075414.714,1592392.963,1207031.692,1177408.247,1195251.908,1203346.209,1900847.492,1900858.219,1901189.713,1827318.126
POS1156,Y,PC(10:0e_6:0)+H,PC(16:0e)+H,PC,(10:0e_6:0),(10:0e),(6:0),,,C24 H51 O7 N1 P1,496.3397685,1.768825413,0.016348188,0.679989016,0.023649325,7.187127273,43564590.9,66771730.07,55266610.4,28813335.35,28177050.8,56565080.66,76046474.58,64956489.29,64857696.44,101128285.5,40718910.56,50421761.62,34722567.71,61764487.84,36804257.9,35895923.58,35975987.01,42484751.26,28347993.31,31437114.95,52627300.13,36857636.45,95190985.9,89567338,84460483.43,115305103.7,64622633.32,61920510.85,65903273.38,60206122.9,70684998.05,72737957.8,70343036.5,70297632.17
POS1165,Y,PC(10:0e_8:0)+H,PC(18:0e)+H,PC,(10:0e_8:0),(10:0e),(8:0),,,C26 H55 O7 N1 P1,524.3710685,2.470338181,0.030230896,0.690203965,0.029750187,6.157665803,40416266.46,51785143.54,46542605.32,20119139.21,20385074.97,50890110.54,69745504.82,59868155.56,44990942.1,81397015.38,33898648.45,39566529.39,29018290.54,45632958.36,33074098.73,34307413.4,30865746.08,35386248.5,25339873.11,28445919.7,52715765.85,29790758.7,60856376.26,62484614,57226380.6,81246105.82,34556666.36,38608806.46,34409875.81,40631648.54,57424638.42,57427497.43,60634711.83,56715850.89
POS1172,Y,PC(8:1e_10:0)+H,PC(18:1e)+H,PC,(8:1e_10:0),(8:1e),(10:0),,,C26 H53 O7 N1 P1,522.3554185,1.859501493,0.024107845,0.630302609,0.000746647,4.65933075,12859749.06,22683418.53,22806921.07,13062989.1,14442889.4,21084733.06,28148287.03,19372679.44,18156497.76,24067349.77,16250604.71,15224835.86,14472083.71,14688003.14,9983143.272,10317944.77,10221923.66,12007138.58,9295960.374,11509754.74,16855681.24,11005096.06,22712378.36,23301857.3,20987765.07,33999765.71,15013340.28,14033096.8,13362744.6,13782969.18,21648864.63,21448858.81,20882216.85,22136476.52
POS1190,Y,PC(10:0e_10:4)+H,PC(20:4e)+H,PC,(10:0e_10:4),(10:0e),(10:4),,,C28 H51 O7 N1 P1,544.3397685,1.47624023,0.00643201,0.68925954,0.024884085,2.554111128,5192932.487,9076383.572,10354530.89,4918763.63,4955463.04,7954293.817,15016517.13,8910206.02,10243023.16,7641638.586,7924792.056,6317124.214,5113284.092,8388058.893,5328766.209,5214287.653,5174872.051,5460031.187,4207065.06,4951313.776,6911701.839,6900432.706,10908107.58,11189662.81,7981413.97,15354965.83,5196705.225,4682019.624,4821894.644,5059719.839,9375157.951,9341641.269,9259261.373,9255698.563
POS1192,Y,PC(8:1e_12:3)+H,PC(20:4e)+H,PC,(8:1e_12:3),(8:1e),(12:3),,,C28 H51 O7 N1 P1,544.3397685,2.123,0.040397357,0.56005788,0.001576217,1.65566565,1627444.721,3014349.299,3218214.257,1238971.188,1534878.181,2956294.96,2533942.075,2638707.164,2438370.432,2782895.781,1533802.407,2217990.231,1909711.552,21712.39183,1172060.192,1379256.913,1190112.369,1441914.858,1144403.784,1421501.61,2193111.332,778639.5011,2909804.629,3194792.39,1704079.603,4601821.557,38970.75953,1894991.001,1643886.294,1847031.356,2837410.928,2869397.592,2792760.861,2617614.524
POS1255,Y,PC(33:0)+Na,PC(33:0)+Na,PC,(33:0),(33:0),,,,C41 H82 O8 N1 P1 Na1,770.5670285,8.705,0.03007966,2.183540542,0.00263194,1.185101524,153582.1882,806073.829,354601.4442,148353.572,160719.4768,447542.6147,466077.8488,394941.7469,406003.0941,1281744.727,702968.6773,1670799.256,501345.533,1200053.772,1165532.644,1168193.55,1281044.393,911414.8174,837545.4259,648274.3446,269340.5301,1119081.317,1234080.792,1040265.298,1943094.116,2091422.404,2367029.955,2117299.539,2212874.086,2081195.657,1236545.96,1252053.514,1316098.944,1236517.386
POS13,Y,CL(78:6)+H,CL(78:6)+H,CL,(78:6),(78:6),,,,C87 H159 O17 P2,1538.104707,9.173979408,0.030828886,1.478668526,0.003489968,1.335250534,680180.9997,1843855.053,1737078.019,643117.6716,658293.9437,1604462.373,1411595.4,1751403.94,1356710.692,2510264.126,1869877.346,2316891.017,1860562.852,2192146.321,2142093.608,2000888.858,2446723.795,1927937.886,2060198.493,2175281.017,1413437.096,1595554.25,2546753.965,2116719.435,2563562.718,2592023.86,2777590.144,2309494.686,2157891.051,2697388.633,2236781.836,2269529.514,2315625.313,2151710.028
POS1345,Y,PC(35:1e)+H,PC(35:1e)+H,PC,(35:1e),(35:1e),,,,C43 H87 O7 N1 P1,760.6214685,11.329,0.639699658,14.20796721,0.000662666,1.899941479,67958.02984,78911.85166,114336.2667,54913.87905,88006.72019,95281.95295,103244.2829,95368.62787,47921.07962,98605.0862,1241373.03,1682433.918,1454845.056,1317163.398,1409973.033,109166.507,2204192.832,78671.95263,63578.37042,2437909.021,1677105.448,863675.0728,87629.14403,52975.44003,51660.64848,52161.75087,60105.09181,71336.77444,66623.19679,80418.27761,1943065.578,1970400.88,59934.49469,1920356.881
POS1385,Y,PC(36:1e)+Na,PC(36:1e)+Na,PC,(36:1e),(36:1e),,,,C44 H88 O7 N1 P1 Na1,796.6190635,10.49,0.053055392,0.657204617,0.017664798,1.136929985,781619.5793,1876781.167,1587501.548,1657897.494,816789.9476,1536342.277,2118553.087,1755238.783,853371.972,1795634.911,660735.3811,1926758.39,1094891.349,1110556.04,711479.7269,765238.4156,909544.9594,659861.7538,829942.7944,1044298.481,1157749.335,764945.2085,1582566.339,1264829.871,1019088.216,1408168.354,933589.425,899109.3248,857570.5047,948911.3307,1376347.658,1509974.631,1336467.271,1394188.269
POS1412,Y,PC(36:2e)+Na,PC(36:2e)+Na,PC,(36:2e),(36:2e),,,,C44 H86 O7 N1 P1 Na1,794.6034135,9.559,0.033800193,68.81998565,1.55353E-11,4.879656159,33690.33855,68023.26892,66972.86227,62250.8596,67909.88827,139867.2968,231672.5433,116437.1844,37359.34426,63268.92166,6457039.28,7670489.096,5742860.978,7382559.762,5814685.923,5370268.419,5924113.324,4430343.621,4272492.939,8009615.523,6983479.272,5188767.936,5403560.498,4320396.085,5964478.716,7215073.81,4983927.839,3827351.732,4310417.981,36066.19795,8530649.652,8611884.801,7975643.117,8408719.774
POS1417,Y,PC(36:3)+H,PC(36:3)+H,PC,(36:3),(36:3),,,,C44 H83 O8 N1 P1,784.5850835,8.370721244,0.060152202,2.249939921,0.014391076,1.640488733,328077.9868,1304244.574,698432.9832,189775.234,210280.0388,807448.4228,896870.0204,735810.9096,418168.6064,3945507.992,1278281.727,3654013.24,1473251.843,3524220.713,1980505.511,2040888.943,2355982.834,1382198.471,2209419.905,1553551.715,629544.643,1185845.099,2574840.806,2244885.82,2828240.56,5829286.77,4163634.092,3870769.369,4173677.392,4254797.389,2593340.368,2565945.527,2832057.46,2459657.953
POS1467,Y,PC(16:0_20:5)+H,PC(36:5)+H,PC,(16:0_20:5),(16:0),(20:5),,,C44 H79 O8 N1 P1,780.5537835,9.210866978,0.03164735,1.173419331,0.002565966,3.231303771,27103291.4,34988013.64,38002701.75,25917301.51,29713435.02,34251430.12,31079976.5,37145763.65,32489603.07,40484893.62,35771843.16,40827198.53,38910761.96,35654337.36,37629874.26,40111156.49,41175757.73,38143948.82,38952510.27,41431413.11,32586333.8,34482287.61,41835619.62,37378572.94,39238062.15,37843145.24,39581062.06,38702546.35,34959831.33,40829081.89,38410392.07,38420321.13,38428504.12,36025898.45
POS1507,Y,PC(18:0_20:1)+Na,PC(38:1)+Na,PC,(18:0_20:1),(18:0),(20:1),,,C46 H90 O8 N1 P1 Na1,838.6296285,10.213,0.038958725,0.64744616,0.016913947,2.723196942,4389279.328,10544434.95,5244217.714,4503935.01,4557824.113,8650511.483,13607691.85,10859126.45,8561174.969,11489220.2,6363251.806,5162070.37,4287695.533,6586974.376,5430513.43,5314485.717,6087785.643,5412613.084,3993696.339,4715278.769,10122202.81,7550122.898,10963073.22,8510191.727,10316872.53,14640870.01,7982253.88,7174078.288,7283732.904,7548912.174,9312592.153,9313777.241,8601253.102,9312736.224
POS1584,Y,PC(16:0_22:6)+H,PC(38:6)+H,PC,(16:0_22:6),(16:0),(22:6),,,C46 H81 O8 N1 P1,806.5694335,9.294337535,0.051084549,1.519955905,0.002444036,2.781047194,3269687.074,7297516.503,7177062.962,2640963.296,2368980.825,7728927.258,6252948.051,7442737.485,4807212.416,9767594.273,7825449.97,10988477.78,7727651.319,9751843.364,8762692.384,9839370.817,10024338.13,7481042.724,8466330.002,8435730.578,6419315.728,6300276.787,9027433.001,7879735.886,10244071.19,11826573.65,9460741.481,9682438.077,9062633.385,10456298.22,9755400.831,9726707.581,10349247.98,9130744.254
POS1646,Y,PC(40:5)+H,PC(40:5)+H,PC,(18:0_22:5),(18:0),(22:5),,,C48 H87 O8 N1 P1,836.6163835,10.5940716,0.044499743,0.43967675,0.030030843,3.503679688,3543884.72,13715536.87,6786637.496,2467846.347,2841650.22,9803630.989,24744736.35,21549594.04,6222463.292,19872532.68,5578186.02,5228640.09,4449851.974,6713711.594,5448146.702,4551309.462,5707594.762,4461234.721,2724468.299,4182144.006,15912909,5656252.843,11812018.76,9269656.725,12407337.98,12067050.63,5956004.625,5027460.399,4323808.885,5636830.26,10873241.1,11136323.19,10026269.61,10780096.34
POS1687,Y,PC(20:4_20:4)+H,PC(40:8)+H,PC,(20:4_20:4),(20:4),(20:4),,,C48 H81 O8 N1 P1,830.5694335,9.072810781,0.045812839,0.80691587,0.025111314,2.121806839,5881901.782,7720086.26,7731922.657,5366265.597,5845081.967,9186768.558,8438926.518,10366591.09,9184800.091,7795198.2,6676388.802,7208688.79,4557312.968,6838994.705,6702408.483,6668409.4,7440673.929,6110366.49,4434987.634,5911904.181,9036075.637,7675362.187,7364081.561,6397227.672,7336953.785,7848825.251,7012944.693,6377451.142,6114067.121,6610172.167,7923566.731,7690682.753,8269050.293,7424011.485
POS1688,Y,PC(18:4_22:4)+H,PC(40:8)+H,PC,(18:4_22:4),(18:4),(22:4),,,C48 H81 O8 N1 P1,830.5694335,9.805651373,0.100939596,0.539453995,0.047376985,1.162089573,682943.4564,1792373.449,1572101.51,256514.0827,475820.7038,1594942.772,3414051.154,3078613.797,1174133.586,3180673.311,911681.5027,1149250.642,1116507.819,1054324.482,927730.4769,1094922.933,1098100.999,541190.7278,442172.9655,954684.6951,2205358.172,678839.4485,1640872.319,1635081.501,1780593.039,1995542.116,902507.8271,872712.463,804822.1129,1001365.344,2016032.42,1921583.133,1991930.537,1604799.167
POS1745,Y,PC(42:8)+H,PC(42:8)+H,PC,(42:8),(42:8),,,,C50 H85 O8 N1 P1,858.6007335,10.23702441,0.026962827,0.861479615,0.040715866,1.11147587,2366087.731,3936282.504,2481211.498,2830251.784,2937255.711,3318291.736,3226921.345,3422323.418,3112426.951,4297057.978,2782353.023,2643296,2502140.846,2893487.748,2781126.675,2664927.058,2884944.523,3200394.01,2612328.268,2540418.334,3581314.942,3599477.446,3862696.59,3580743.296,3798745.2,4266416.352,3227274.447,3101781.806,2971861.091,3145022.478,3302595.629,3302875.84,3127301.164,3303674.088
POS1893,Y,PG(29:2e)+NH4,PG(29:2e)+NH4,PG,(29:2e),(29:2e),,,,C35 H71 O9 N1 P1,680.4860985,10.55670477,0.092738057,1.143222577,0.023354752,2.546524483,18992714.12,20822380.86,26436495.14,22221610.78,21416431.44,29702428.43,19724871.05,25741482.88,20495207.83,26130876.27,24854075.28,27190137.4,26042216.2,24073719.8,28697660.02,23249111.73,27702708.23,24678573.72,28004905.4,30373841.92,24437026.63,23306510.55,32482729.08,25204255.79,28186911.29,28418908.03,28925400.02,22881040.75,25280870.2,25361592.31,28610121.44,32694186.01,26131831.11,29344914.97
POS191,Y,Cer(t42:5)+NH4,Cer(t42:5)+NH4,Cer,(t42:5),(t42:5),,,,C42 H79 O4 N2,675.6034345,17.9441569,0.038096253,0.417085581,9.57546E-05,2.017178249,1884793.25,2573169.353,2720862.911,1749643.202,1990314.804,4438435.482,3227730.17,2353162.962,1899458.671,1626634.195,1414223.1,861082.1687,1418284.561,741926.0492,1087675.468,898126.3402,1208748.348,651763.8008,748839.5842,1172997.725,2500045.363,770757.437,1470816.332,1329775.633,1046247.594,2001403.844,938841.1095,969416.357,832241.6383,1259793.705,1778690.78,1817630.653,1683967.075,1836073.539
POS2059,Y,SM(d36:2)+H,SM(d36:2)+H,SM,(d36:2),(d36:2),,,,C41 H82 O6 N2 P1,729.5905025,9.276,0.046662548,0.419420228,0.029549332,2.127564654,52725.74769,10017294.84,5705845.993,2512364.076,3349103.291,9628092.554,4647295.982,6469912.345,49170.86375,2828937.934,1854040.93,2188792.127,2527786.543,1934985.134,1886521.885,1771060.181,1916954.983,1149876.08,1409861.229,2343392.335,2523897.027,728967.6446,1715892.218,1685335.198,1694114.913,1733673.523,1736034.845,1036340.17,1449906.062,1135067.979,2915260.51,3018465.2,2754406.819,2741485.16
POS2061,Y,SM(d36:3)+H,SM(d36:3)+H,SM,(d36:3),(d36:3),,,,C41 H80 O6 N2 P1,727.5748525,9.121216859,0.130830098,0.340445189,0.000172881,1.481263733,1368386.774,1211497.483,1524672.673,1683000.901,1762003.587,1133659.633,744551.6204,600942.5321,640667.6496,468446.9724,329526.0393,370462.5609,473455.3671,274526.8164,336577.8282,283035.5047,273221.8485,708726.874,417562.403,324725.3391,611995.1999,362295.6109,487065.5991,665205.5203,198735.1272,185732.8037,276829.4102,271860.7167,287767.0736,431023.9818,458236.6608,621512.1766,503398.2167,522852.0601
POS2063,Y,SM(d18:0_18:4)+H,SM(d36:4)+H,SM,(d18:0_18:4),(d18:0),(18:4),,,C41 H78 O6 N2 P1,725.5592025,8.680595244,0.089939394,0.818754045,0.000974595,3.643473301,21997397.34,28114362.48,25697510.57,24120477.86,26859707.99,25564522.08,22612921.98,25656627.99,21855770.2,29537437.29,18881593.05,27235108.41,21954834.7,19833807.8,18563898.08,20172518.63,21147622.61,18696427.38,18726092.87,21127818.42,19399198.35,16741763.94,23516412.08,22271414.39,16031709.36,35685577.26,21734587.46,21042878.32,20489780.59,21302341.12,28443746.22,27692997.66,32129556.1,26047216.75
POS2085,Y,SM(d38:4)+H,SM(d38:4)+H,SM,(d38:4),(d38:4),,,,C43 H82 O6 N2 P1,753.5905025,9.924039121,0.096856103,0.62702742,0.000357598,3.080835265,7794583.075,11979281.48,10472128.8,8285007.515,9836587.116,12695613.82,9612325.869,8372645.933,5734598.633,6564017.389,5474140.578,6932571.064,7308202.915,4714376.422,5754556.228,5213472.47,5589883.775,4384821.243,4819493.05,7085424.061,7873000.436,2112377.5,4345488.052,3921891.54,4023249.548,4568451.405,4010551.21,3506485.344,3545890.175,3751624.985,7738756.874,7738013.933,6260049.583,7492756.249
POS2086,Y,SM(d38:5)+H,SM(d38:5)+H,SM,(d38:5),(d38:5),,,,C43 H80 O6 N2 P1,751.5748525,8.877507198,0.073614492,0.527611603,8.76325E-05,1.431570525,1227909.139,2012578.864,1526606.429,1268918.238,1485595.317,2214991.66,1777105.131,1592750.625,973918.6883,1188280.931,766434.2314,1007789.174,1305810.7,630451.9508,737340.3459,710952.194,787830.2851,530355.654,583209.4806,995745.5308,1079275.227,318810.5532,682923.3342,733151.0419,603545.1839,781641.7755,508650.2293,493019.2374,512528.2576,535175.2518,1265195.574,1297030.505,1452637.46,1235711.939
POS2098,Y,SM(d40:1)+H,SM(d40:1)+H,SM,(d40:1),(d40:1),,,,C45 H92 O6 N2 P1,787.6687525,12.69267,0.166089548,0.61015142,0.000444869,1.11529021,809466.4423,1353670.035,1655429.288,810344.2251,1674631.015,875646.9295,1329439.167,1156570.739,985997.7884,1094936.359,676940.3226,764415.9391,828653.2471,777311.3487,743687.8766,633479.1041,712009.1034,530363.1907,631987.8712,868071.1034,1384570.561,427280.6459,894442.6892,706415.2393,597328.9714,1497182.621,911373.2932,559697.9025,563867.8139,566540.4251,1149432.123,1156756.977,788496.1907,1066234.938
POS2104,Y,SM(d18:1_22:3)+H,SM(d40:4)+H,SM,(d18:1_22:3),(d18:1),(22:3),,,C45 H86 O6 N2 P1,781.6218025,11.10023086,0.032573602,0.603158084,0.00026295,2.499515941,4668229.887,7946463.556,4969255.954,5027996.232,5450755.82,5068825.153,5068488.31,3160262.894,3878613.351,4818592.237,2076923.165,4004681.142,3770034.493,3269852.429,3072379.537,2889368.366,3196457.112,2872126.392,1964032.201,3076720.954,3620730.071,1720421.07,2707260.753,2332850.672,2483567.559,3157057.727,2621658.847,2332897.002,2265331.148,2466887.471,4413305.963,4558837.218,4215544.977,4347048.572
POS212,Y,CerP(t39:2)+NH4,CerP(t39:2)+NH4,CerP,(t39:2),(t39:2),,,,C39 H80 O7 N2 P1,719.5697675,16.82311728,0.130872302,0.207376041,4.85459E-05,1.350725357,567271.6675,295095.3999,1038712.837,660805.5866,638242.1145,1360583.725,993514.3144,787504.957,857461.3235,566787.3697,145125.6654,85370.7089,682622.4951,98771.27119,42672.02964,40470.50845,70546.46333,26242.61099,41939.28932,376717.0013,943979.8144,81693.80725,798392.9835,571726.0648,149711.0585,208253.979,69757.25126,63100.23119,42794.32102,69959.67091,189360.0101,189769.1962,143127.3043,190079.0325
POS2120,Y,SM(d18:1_24:1)+H,SM(d42:2)+H,SM,(d18:1_24:1),(d18:1),(24:1),,,C47 H94 O6 N2 P1,813.6844025,11.21215655,0.031531563,0.588884818,0.000312991,1.55086213,1019081.197,2765536.472,1758913.895,1485588.932,1644702.254,1963838.237,2420734.456,1987020.553,1342321.358,1733882.221,959859.7868,1258598.408,1147189.324,1215585.853,929409.2823,960978.2598,927874.7014,912143.2701,1064477.781,1295429.978,1031124.461,945929.2127,1334999.843,1027542.759,1190213.572,1216217.925,1261562.217,892919.6907,1102703.355,996533.3964,1740056.544,1658954.531,1694376.452,1615461.545
POS2132,Y,SM(d18:2_24:2)+H,SM(d42:4)+H,SM,(d18:2_24:2),(d18:2),(24:2),,,C47 H90 O6 N2 P1,809.6531025,12.21715838,0.041851058,0.585320629,4.35058E-05,2.435080157,2969406.369,6276540.094,4621959.167,4375573.644,5054840.195,5430941.071,5310443.643,4982947.497,3132394.596,3906259.906,2481564.473,3218743.01,3210587.398,2668751.773,2874061.136,2287255.496,2877884.904,2206087.554,1991383.362,3144313.609,5173074.047,2068170.428,3678850.236,3206687.844,2964328.804,4541536.802,2956641.396,2647031.848,2384156.177,2959921.041,4680811.485,4801269.374,4345561.762,4602831.584
