KO_ID,AdFeMg1,AdFeMg2,AdFeMg3,AdFeMg4,AdFeMg5,AdFeMg6,AdFeMg7,AdFeMg8,AdFeMg9,AdFeMg10,AdFeMg11,AdFeMg12,AdFeMg13,AdFeMg14,AdFeMg15,MaFeMg1,MaFeMg2,MaFeMg3,MaFeMg4,MaFeMg5,MaFeMg6,MaFeMg7,MaFeMg8,MaFeMg9,MaFeMg10,MaFeMg11,MaFeMg12,MaFeMg13,MaFeMg14,MaFeMg15,OaFeMg1,OaFeMg2,OaFeMg3,OaFeMg4,OaFeMg5,OaFeMg6,OaFeMg7,OaFeMg8,OaFeMg9,OaFeMg10,OaFeMg11,OaFeMg12,OaFeMg13,OaFeMg14,OaFeMg15
K01523,758.7588066,782.0204722,850.1810781,860.2754529,608.3536768,806.3454485,729.5020864,1461.589828,717.6160194,2061.193566,1164.799847,1034.960564,1113.167805,745.33573,1125.423572,1438.889329,961.3607949,1196.073774,849.6536121,554.5690387,1697.531489,1664.230107,1079.666074,1290.073896,1465.450965,1687.767358,1005.750427,1106.089326,1599.061522,1842.210874,380.3973562,934.3961098,1010.224314,1478.907509,686.3733065,694.9418345,722.5767613,1676.21941,712.8301669,994.5485177,840.6885509,940.7794448,1383.806744,1507.099352,1494.654295
K01524,3802.142706,3657.257203,2246.547763,3162.680748,4161.5595,2510.71565,2604.231142,3998.143954,2400.671962,4384.481795,4258.259574,2585.659482,3362.28619,2373.235525,4007.928814,4069.603418,3487.097393,4078.702472,3867.114912,2572.154633,8174.909148,3671.956204,3416.360112,3114.781995,3620.80073,5228.843408,3409.066916,4196.157048,5711.502267,5428.491085,3776.725667,5115.02959,2386.843004,6077.377845,2857.417727,3066.010668,1961.636685,4143.525757,3175.674322,2845.431766,3079.376493,2504.611001,4820.834527,2049.502758,3002.333748
K01525,249.9598426,233.2035288,93.26696824,57.18159686,142.8714799,104.0065376,100.0516589,127.9703032,55.65761123,465.7047723,267.8794166,266.8794038,207.3792271,57.17409221,182.013711,429.110203,113.9941767,252.4173159,135.7905852,176.0094481,98.12043472,100.3519025,109.3231348,379.1447705,97.04812795,157.6596692,88.82336749,135.1431054,108.2701859,93.83826434,29.30785623,45.92774291,37.16088329,77.25121964,69.38230241,133.1861878,127.1783332,120.7539531,95.38305017,441.7821438,52.73216047,47.29994812,127.8629369,61.85025482,139.3099558
K01526,0,1.332645919,0,0,1.700944635,0,0,4.380610369,0,5.951536708,0,0,11.18536044,0,0,2.343652103,0,0,0,0,0,0,1.143586762,0,0,0,0,0,0,0,0,0,0,0,3.089606772,0,0,0,0,2.384475075,0,0,0,0,0
K01527,0,0,3.827238023,4.21949883,0,0,0,0,0,3.920078845,0,0,16.3720535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17510497,0,0,0,0,0,0,0,0,0,0
K01530,11.65788493,6.786877155,10.17441292,1.767946437,4.331271389,5.207984579,0,2.905531978,0,29.55640418,5.134712275,0,57.00815182,1.035537124,0,2.562874755,0,1.667970028,0,0,0,1.796479959,0,0,0,0,1.396224146,0,0,1.737423835,0,0,1.465767418,0,18.84229442,0,0,0,0,7.147812798,1.570111075,0,0,0,0
K01531,1329.963588,1922.320938,443.010234,580.1451793,1552.942684,542.5553472,992.6520909,1961.923478,120.8255988,676.3874627,1259.013317,869.8794882,1487.075384,297.949071,1003.01837,741.614246,932.9229508,805.9261054,1272.457253,334.175255,4705.096737,575.0166534,1062.437205,672.0087408,846.1963901,1634.369568,1247.365541,503.1098099,1414.730477,723.5768112,1013.135642,1077.642652,181.7777153,2183.729998,494.9795205,620.5487716,151.4450975,1178.975157,621.5429909,531.6968365,1026.031234,334.4203262,1457.638488,267.874524,482.7825169
K01533,4581.075679,5518.858613,7248.335379,6301.436193,5621.919491,6105.326946,5308.209271,6742.058055,6326.359119,5570.498852,5161.281416,5194.918434,6778.124113,4946.334493,5066.296646,4922.861235,6352.966922,6042.131961,4964.066892,6116.436136,6622.606453,5324.860968,5749.522349,6090.582705,6148.018114,5537.647959,4999.362459,5756.213077,8546.211847,6939.643541,7660.263525,4774.369647,7284.446499,5961.890127,7938.448968,7231.891764,7834.619907,6345.42381,7827.489024,5906.888179,5587.737162,7497.83298,7275.684573,6068.948289,6439.08208
K01534,7938.88415,9688.894766,10278.88949,8224.424631,8150.951887,10148.88828,8253.773496,10030.3991,8263.491426,9411.114375,8608.814466,9201.879447,8644.18838,8665.073289,9160.833056,8885.155424,9895.943678,10265.76184,8775.978316,9100.31169,10280.0094,10007.35963,9949.171566,9315.55166,9911.058825,9549.101615,8647.513229,9501.558032,10772.01491,9398.435101,9154.422707,10740.41626,10241.08528,9271.968941,9636.438447,9876.477734,8949.54305,9734.577025,10207.51818,10064.13361,9681.991024,9733.308207,10007.74874,10293.49458,10530.72621
K01535,2.744602017,7.47196357,5.847169202,2.344166017,147.1283429,11.74788163,0,749.4437369,1.770799268,59.07611615,11.21958286,7.596606169,22.14429008,15.4540177,38.9405282,2.094602641,182.1353659,2.211604704,92.61176668,1.414124398,11.07327469,0,9.810948291,0.657427735,1.755676205,0.34124102,285.9397759,1.015709606,25.63373305,2.053480162,205.5051919,48.59488491,14.55204149,767.942491,32.14595816,237.0857235,3.849829496,8.569856038,216.2051225,14.41424098,296.8383251,32.16084278,108.0983569,0.326777472,31.19397724
K01536,0,1.859681028,1.621711027,1.787923233,0,0,0,0,0,8.30525179,0,0,10.40596621,0,0,0,0,0,0,1.617854184,0,3.795952004,0,0,0,0,0,0,1.530275794,0,3.127764913,0,0,0,0,0,0,0,1.779134493,1.663743909,0,0,0,0,0
K01537,8344.577999,10492.82647,8090.643091,7546.970242,8230.821129,9576.316746,7948.594204,9562.854946,7483.327511,8952.954341,9502.997983,8726.816628,8877.534843,7500.326578,9937.057935,10838.69033,9997.962309,10305.00241,10123.15763,9474.34359,12487.4496,11414.154,11618.39042,9621.922417,11246.52875,11168.63001,10683.29157,9738.629744,8768.176887,9060.707937,10121.30012,9451.263126,9254.894456,10704.56215,7600.939128,8825.758735,9270.801535,10879.26657,8916.41427,9255.505913,10372.60698,9180.547784,10694.11463,9555.014261,10910.05532
K01546,1212.460013,823.9035988,449.4388764,619.5392238,1206.509284,391.3504631,786.2035083,316.8150774,334.0782197,726.2840974,1542.483082,838.5923804,1247.46232,360.371827,652.187844,564.9506099,304.1612074,357.9886852,240.7412427,377.3672305,222.1794368,242.6153625,263.0546855,453.0514303,187.2799897,256.7757761,188.5039212,245.5102151,228.0027808,188.64956,92.00118422,340.6042473,207.0920939,148.4410651,202.1069148,185.1619303,213.2337339,189.2845462,181.7024713,617.961864,351.4036053,161.426221,551.970835,340.7883205,480.184195
K01547,1125.9846,868.2087693,385.2260272,564.1398472,1333.946904,326.8457756,783.5149094,189.655033,401.7993434,568.6857311,1638.270367,741.0069091,1202.902582,200.1602424,601.4408839,427.441099,177.3480252,274.0847778,164.5057789,284.8151291,142.7806058,191.3117129,253.3903893,345.3385262,125.5457565,184.7182266,174.1383095,188.2971991,171.089183,116.892266,77.81295397,308.0573739,128.3020786,111.9244593,149.7057492,194.5309451,116.8267931,187.9222864,175.1446046,523.6977964,306.673993,92.61354482,482.3061141,186.7382706,388.4245892
K01548,1334.081512,802.285342,338.7849064,523.5193048,1385.938454,413.9019449,911.0729216,206.5411903,194.3043687,579.2119653,1578.164963,711.7769929,1203.415952,206.2292116,766.593418,534.2261919,240.4751565,453.4684871,223.6014034,317.1989052,168.5238205,223.1888211,199.1500771,362.2508554,168.3933902,270.7909794,176.3746155,234.1943942,219.3813716,255.4900574,121.5827115,257.5829329,166.4927772,178.6869069,149.7228952,259.9992785,205.797619,216.0929685,197.0803136,502.170081,318.8294131,133.8803066,575.6535231,194.9125315,337.595124
K01551,483.0211709,478.6913677,559.730924,433.8752095,325.5640667,381.3026881,274.9478861,273.7351799,278.4200507,240.5029826,397.9139484,496.8876013,685.3351087,400.9870276,312.2213403,595.3674791,533.4657721,538.9650322,283.3106449,343.0134431,891.9146793,919.5238772,492.3356173,327.7223424,695.2669019,627.7969186,491.7490538,574.5687562,607.8961042,731.2141113,142.1846143,708.404931,332.7349198,348.5385511,379.4130065,285.9663657,424.7681684,783.172319,334.4421469,452.2035842,533.2745763,338.196963,507.2330321,578.2269326,964.4873569
