KO_ID,AdSa1,AdSa2,AdSa3,AdSa4,AdSa5,AdSa6,AdSa7,AdSa8,AdSa9,AdSa10,AdSa11,AdSa12,AdSa13,AdSa14,AdSa15,MaSa1,MaSa2,MaSa3,MaSa4,MaSa5,MaSa6,MaSa7,MaSa8,MaSa9,MaSa10,MaSa11,MaSa12,MaSa13,MaSa14,MaSa15,OaSa1,OaSa2,OaSa3,OaSa4,OaSa5,OaSa6,OaSa7,OaSa8,OaSa9,OaSa10,OaSa11,OaSa12,OaSa13,OaSa14,OaSa15
K06744,0,2.022342296,0,0,4.321440513,0,6.181158875,2.785220897,0,0,0,0,60.15296554,6.19732511,3.556521643,0,0,5.00273235,0,6.494499459,7.564187852,14.91056289,0,12.7939669,5.701611444,7.142563917,0,2.693433413,105.8112974,6.394078435,0,2.841088177,66.17691671,3.822817273,73.64182707,18.6655069,0,3.615836933,0,7.096917672,26.63717155,0,0,0,8.308322008
K06751,0,2.050236672,1.765684236,0,0,4.584902268,0,5.647275474,0,2.045037701,0,5.115918101,0,0,3.605577114,0,0,0,0,0,3.834260739,3.458324729,7.238455422,6.485217706,4.875860821,0,0,0,8.180550237,6.482272621,0,0,9.432112267,0,11.07361181,2.806755154,0,3.665710546,2.820927737,7.194806191,9.985789327,0,0,0,0
K06760,0,0,0,0,0,0,6.495455089,6.939448676,0,0,0,0,58.07564914,0,0,0,0,0,0,24.27181578,0,16.99854528,0,0,5.99152389,0,0,6.710757825,0,0,0,0,0,0,0,0,5.771593793,0,0,8.841075405,0,0,0,0,0
K06767,3.691165628,0,0,0,0,0,0,0,0,0,0,12.78979525,13.12821188,0,12.01859038,0,0,3.565165583,0,0,0,5.763874548,0,16.21304426,0,0,0,22.75486849,13.63425039,10.8037877,0,0,47.16056134,0,92.28009844,0,3.914069354,6.109517576,0,0,5.547660737,7.109300391,0,4.044482392,0
K06775,4.225413285,0,0,0,0,0,0,5.387203577,0,0,0,0,0,0,0,0,0,0,0,0,21.94609765,13.1962391,20.7153165,12.37311273,18.6052584,0,0,0,15.60762874,12.36749382,0,10.99052532,0,0,21.12728569,0,0,0,10.76406637,6.863466433,0,0,0,0,0
K06794,3.490558801,0,0,0,0,0,8.331127179,4.094274719,5.465171168,5.930609333,5.65479256,0,80.94398809,0,10.91078988,13.7123451,0,0,8.074504983,19.09382841,16.67903421,15.04371257,16.19997795,0,0,3.385548551,3.937021151,3.959347117,11.86179784,20.43325065,5.118765433,12.52919886,44.59748735,59.61600432,67.01942453,4.069794973,0,5.777478578,0,5.669820096,9.652929683,0,6.401427256,18.81739395,8.142155568
K06799,0,0,0,0,0,9.922549685,0,0,0,0,0,5.535881527,51.14124328,0,0,0,0,0,5.543689988,0,0,0,0,0,5.276118053,0,0,0,0,7.014399478,0,0,0,8.387375211,23.9652793,0,0,7.933254166,0,0,0,4.615739806,4.578135165,0,0
K06800,3.691165628,8.65795241,0,7.994050733,0,2.039297021,13.21489139,5.023649962,1.542318244,0,8.234360508,8.526530168,74.42004769,4.416484561,37.27237692,17.73260884,6.156071276,12.59837654,4.269278497,10.9734646,42.50907993,3.076423838,24.02729356,21.43660757,19.56379459,10.74036092,20.04561397,16.69621025,92.91541335,14.0515521,5.778238281,7.686625068,121.6144537,28.63257065,111.9816164,19.34307744,7.762672517,40.60649331,18.64891007,59.35153679,11.46970349,3.255311232,0,10.24767625,16.45752599
K06820,0,0,0,0,0,0,15.74925412,5.608595505,0,0,0,0,0,0,0,0,0,0,0,0,0,6.869275146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.611595673,0,0,0,0
K06821,6.690237701,0,0,0,0,0,0,8.529738997,0,0,0,0,35.69232604,0,5.445923766,8.760664924,6.020637708,0,0,4.972351149,44.13393871,20.89404524,0,9.79538091,0,6.488968056,6.244930101,8.248639827,32.80741501,0,0,4.350416271,0,5.853688949,33.45153568,18.27314553,0,0,14.10463869,8.993507739,8.321491106,0,0,0,12.72211808
K06826,0,0,2.133535118,0,5.293764629,0,0,0,0,0,0,9.272601558,19.03590722,0,13.07021704,14.01706388,2.909974892,0,0,15.91152368,0,16.71523619,13.11970045,0,2.945832579,0,0,3.299455931,0,0,3.924386832,0,22.79427131,0,13.38061427,0,0,0,3.408621016,0,4.022054034,2.577121392,0,0,0
K06842,0,0,0,0,0,0,0,0,0,0,0,19.52126644,0,6.74095012,0,0,0,0,0,0,9.753821178,0,0,0,0,0,0,0,0,0,0,0,23.9939698,0,0,0,0,0,0,0,0,0,0,0,0
K06846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.988528386,22.15495755,0,6.819224432,0,7.163672652,0,0,0,4.449578096,0,0,0,6.713782357,6.727520284,0,0,16.05583255,0,0,0,0,0,0,0,4.417922386,0,0,0
K06853,0,0,0,0,0,0,6.782864606,7.246503927,0,0,0,0,10.10756136,0,4.626625501,0,0,0,0,0,9.840138179,13.31301997,0,0,0,0,0,3.503847006,10.49716623,4.158980221,4.167490441,0,72.61891746,14.91913644,28.41900377,7.203176944,0,9.407575737,0,13.84841015,8.542415648,0,0,0,7.205447406
K06857,56.23311626,64.89172344,58.48871543,57.29449641,7.1100671,20.75039802,12.06892103,8.601417476,11.83375376,2.502411359,74.38558006,51.35095888,39.53435713,19.51480691,10.66956493,62.27023779,28.15559626,20.17177721,6.93425367,71.02424473,55.06283804,20.57624525,24.2549084,39.78092748,62.63069325,49.40244573,30.70171047,10.76444019,178.3558095,90.78517694,96.68613156,57.71269303,168.4749559,32.35752416,68.29310353,33.62936603,14.04528298,24.02167136,18.33993719,152.6996495,0,47.62393459,126.5201587,23.6801823,35.92127457
K06858,0,0,0,0,0,0,0,15.74721046,0,0,0,0,0,0,0,0,0,0,0,0,8.553350879,0,0,3.616756028,0,0,0,0,0,0,0,0,0,0,0,0,0,4.088677147,0,0,0,0,0,0,0
K06859,3.568126774,0,22.70417176,3.559688928,1.477329664,0,0,0,5.068403588,0,1.315068037,1.678298924,0,1.738616094,0,6.136669531,7.122886182,22.49793068,15.9177336,13.32127564,0,2.817174639,0,22.09682252,15.85328905,18.16934277,17.59648215,0,11.79319879,70.8521938,58.74870663,6.152507046,23.05038672,59.32830337,0,41.60791187,0,4.619804326,10.05759963,79.81910639,0,8.785867561,61.42349302,0,0
K06860,57.12205021,34.66231155,29.4814473,31.78041802,53.28317544,39.1319187,76.88492988,26.22192411,24.48570835,16.71573002,15.74947509,52.21450384,33.23014087,60.04409929,10.38343792,88.31779307,170.6489165,262.2756388,57.23722918,247.5241907,78.23238132,182.431565,132.6282335,85.45629634,35.25802837,41.35283937,127.4766684,175.1655374,373.343819,183.2698745,202.3320957,171.318801,365.3860465,109.3089843,59.62255083,84.39406022,53.43839575,227.7801298,84.04218024,72.39881399,203.1090559,117.7787484,134.450715,359.6475629,481.6451771
K06861,6389.926898,6475.339366,5951.403021,6002.436779,5815.995129,5070.130551,5298.562992,5629.86339,5639.692417,4668.16349,5914.166854,5249.59201,5036.421169,5553.728586,5945.806872,5303.027163,4659.402363,4529.202585,5282.470218,4682.989346,5268.471106,4519.23234,4771.927798,4142.012854,5079.800523,5669.248151,5304.137189,4386.297499,3680.019886,4978.889596,4961.839719,5173.438774,3157.601645,4757.20242,5160.200529,4810.1617,5885.007895,4689.717025,6128.568105,5162.915862,4157.096731,5305.390561,5205.000084,4659.439741,4240.256256
K06862,0,0,2.813452903,1.84830002,0,0,0,0,0,0,4.272164709,0,0,0,0,0,5.276328101,0,0,7.212641227,0,0,0,0,0,3.422752381,0,3.807064536,105.9089093,17.43001189,2.587507802,6.479223716,0,14.89341933,0,14.4692129,0,0,0,44.8033069,0,2.798683864,5.056072352,0,6.151353795
K06863,0.897015111,0.760317948,14.66574818,0.860334025,0.812342398,0,0,0,0,0,3.776510166,14.37497572,0,0,0,9.30800643,0.893086923,1.704227504,8.777965754,18.03203558,0,2.778347473,0,16.45434157,0,3.31891665,7.735748307,0,6.572087024,35.30025148,65.42283528,18.47497831,0,77.65173555,8.822383037,4.516148268,11.55169644,8.617045187,5.327050918,177.0759279,1.325951879,7.052233707,45.69659539,0,1.118427963
K06864,257.6510277,305.3450332,813.8047642,343.47842,133.8233448,91.61439399,92.4802843,78.04335654,87.36174082,19.35878374,475.9646391,198.087728,127.4268996,111.3161153,38.65481436,425.1480713,190.7959856,392.4686246,160.8126231,589.6226382,94.23911713,227.8599738,140.3199618,269.796488,316.535937,209.3574816,214.7198505,104.6331399,794.1499644,625.3675974,745.5896701,306.8585286,639.0785444,679.6407608,412.5971695,386.6734184,186.7785175,229.1914768,175.8839098,1137.019099,244.5649473,274.2489455,675.9891077,444.5127601,466.7268572
